




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (8504)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (FDR)
learning or memory (GO:0007611)	256	146	105.71	+	1.38	1.97E-03	4.94E-02
negative regulation of neuron death (GO:1901215)	209	123	86.30	+	1.43	1.95E-03	4.90E-02
neurotransmitter secretion (GO:0007269)	81	58	33.45	+	1.73	1.91E-03	4.81E-02
signal release from synapse (GO:0099643)	81	58	33.45	+	1.73	1.91E-03	4.80E-02
cellular glucuronidation (GO:0052695)	19	0	7.85	-	 < 0.01	1.87E-03	4.72E-02
regulation of RNA stability (GO:0043487)	253	145	104.47	+	1.39	1.85E-03	4.69E-02
regulation of epithelial to mesenchymal transition (GO:0010717)	91	63	37.58	+	1.68	1.83E-03	4.64E-02
locomotory behavior (GO:0007626)	181	110	74.74	+	1.47	1.82E-03	4.62E-02
skeletal system morphogenesis (GO:0048705)	224	131	92.49	+	1.42	1.82E-03	4.62E-02
organonitrogen compound catabolic process (GO:1901565)	1091	530	450.49	+	1.18	1.80E-03	4.61E-02
ureteric bud morphogenesis (GO:0060675)	51	41	21.06	+	1.95	1.81E-03	4.61E-02
gastrulation (GO:0007369)	157	98	64.83	+	1.51	1.79E-03	4.58E-02
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	76	47.49	+	1.60	1.78E-03	4.56E-02
mesonephros development (GO:0001823)	85	60	35.10	+	1.71	1.77E-03	4.55E-02
regulation of protein ubiquitination (GO:0031396)	213	126	87.95	+	1.43	1.74E-03	4.47E-02
positive regulation of organelle organization (GO:0010638)	605	311	249.81	+	1.24	1.69E-03	4.35E-02
positive regulation of programmed cell death (GO:0043068)	575	297	237.43	+	1.25	1.69E-03	4.35E-02
positive regulation of cell motility (GO:2000147)	545	283	225.04	+	1.26	1.68E-03	4.34E-02
odontogenesis (GO:0042476)	120	79	49.55	+	1.59	1.68E-03	4.34E-02
lymphocyte chemotaxis (GO:0048247)	49	6	20.23	-	.30	1.67E-03	4.34E-02
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	54	85.89	-	.63	1.67E-03	4.34E-02
canonical Wnt signaling pathway (GO:0060070)	84	60	34.68	+	1.73	1.67E-03	4.34E-02
positive regulation of establishment of protein localization (GO:1904951)	347	191	143.28	+	1.33	1.56E-03	4.07E-02
sex differentiation (GO:0007548)	272	155	112.31	+	1.38	1.54E-03	4.01E-02
protein localization to cell periphery (GO:1990778)	233	136	96.21	+	1.41	1.50E-03	3.93E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	103	68.54	+	1.50	1.49E-03	3.91E-02
positive regulation of apoptotic process (GO:0043065)	560	291	231.23	+	1.26	1.48E-03	3.89E-02
regulation of cell adhesion (GO:0030155)	731	369	301.84	+	1.22	1.48E-03	3.89E-02
protein ubiquitination (GO:0016567)	746	376	308.04	+	1.22	1.46E-03	3.85E-02
cellular response to hormone stimulus (GO:0032870)	529	277	218.43	+	1.27	1.45E-03	3.83E-02
histone acetylation (GO:0016573)	110	74	45.42	+	1.63	1.45E-03	3.83E-02
cerebellum development (GO:0021549)	104	71	42.94	+	1.65	1.45E-03	3.83E-02
